variable name,data type,register,documented name,unit,values,writable,note,,,,
,ASCII,7~8,FWCode,,[a-zA-Z],W,For more information of the model code,,,,
,8bit,9,Slave Ver,,0-255,W,For more information of the software version number for redundant CPU,,,,
,8bit,9.b8,Com Ver,,0-255,W,For Communication CPU software version number,,,,
,8bit,10,Cntl Ver,,0-255,W,For Control CPU software version number,,,,
,8bit,10.b8,FWVer,,0-255,W,For external software version,,,,
,1bit,11,ResetSetting_EnergyRecordClr,,0-1,W,Resetting energy and running time,,,,
,1bit,11.b1,ResetSetting_AlltoDefault,,0-1,W,Reset all settings,,,,
,1bit,11.b2,ResetSetting_AdjRatioClr,,0-1,W,Reset all adjust data,,,,
,1bit,11.b3,ResetSetting_FaultRecordClr,,0-1,W,Clear the failure record,,,,
,1bit,11.b5,ResetSetting_ InvReboot,,0-1,W,0-null 1- restart inverter,,,,
,8bit,12,Time_Year,,17-255,W,inverter time-year,,,,
,8bit,12.b8,Time_Month,,1-12,W,inverter time-month,,,,
,8bit,13,Time_Date,,1-31,W,inverter time-day,,,,
,8bit,13.b8,Time_Hour,,0-23,W,inverter time-hour,,,,
,8bit,14,Time_Minute,,0-59,W,inverter time-minute,,,,
,8bit,14.b8,Time_Second,,0-59,W,inverter time-second,,,,
,,15,Com Addr,,0-150,W,MODBUS address,,,,
,,16,Language,,"{""0"":""English"",""1"":""German""}",W,0-English 1-German Language 0-English 1-German,,,,
,,20,PVInputModel,,0-7,W,0: No PV plug in 1: PV1 plug in 2: PV2 plug in 3: two PVs in parallel 4: two separate PVs,,,,
,1bit,21,FuncEn_EPSEn,,0-1,W,Off-grid mode enable,,,,
,1bit,21.b1,FuncEn_OVFLoadDerateEn,,0-1,W,Overfrequency load reduction enable,,,,
,1bit,21.b2,FuncEn_DRMSEn,,0-1,W,DRMS enable,,,,
,1bit,21.b3,FuncEn_LVRTEn,,0-1,W,Low voltage ride-through enable,,,,
,1bit,21.b4,FuncEn_AntiIslandEn,,0-1,W,Anti-islanding enablement,,,,
,1bit,21.b5,FuncEn_NeutralDetectEn,,0-1,W,Ground neutral detection enable,,,,
,1bit,21.b6,FuncEn_GridOnPowerSSEn,,0-1,W,On-grid power soft start enable,,,,
,1bit,21.b7,FuncEn_ACChargeEn,,0-1,W,AC charging enable,,,,
,1bit,21.b8,FuncEn_SWSeamlesslyEn,,0-1,W,seamless off-grid mode switching enable,,,,
,1bit,21.b9,FuncEn_SetToStandby,,0-1,W,0: Standby 1: Power on,,,,
,1bit,21.b10,FuncEn_ForcedDischgEn,,0-1,W,Forced discharge enable,,,,
,1bit,21.b11,FuncEn_ForcedChgEn,,0-1,W,Force charge enable,,,,
,1bit,21.b12,FuncEn_ISOEn,,0-1,W,ISO enable,,,,
,1bit,21.b13,FuncEn_GFCIEn,,0-1,W,GFCI enable,,,,
,1bit,21.b14,FuncEn_DCIEn,,0-1,W,DCI enable,,,,
,1bit,21.b15,FuncEn_FeedInGridEn,,0-1,W,0-disable 1-enable,,,,
,,22,StartPVVolt,0.1V,900-5000,W,PV start-up voltage,,,,
,,23,ConnectTime,s,30-600,W,Waiting time of on-grid,,,,
,,24,ReconnectTime,s,0-900,W,Waiting time of Reconnect on- gird,,,,
,,25,GridVoltConnLow,0.1V,According to specific regulatory requirements,WD,The lower limit of the allowed on-grid voltage.,,,,
,,26,GridVoltConnHigh,0.1V,According to specific regulatory requirements,WD,The upper limit of the the allowed on-grid voltage.,,,,
,,27,GridFreqConnLow,0.01Hz,According to specific regulatory requirements,WD,The lower limit of the allowable on-grid frequency,,,,
,,28,GridFreqConnHigh,0.01Hz,According to specific regulatory requirements,WD,The upper limit of the the allowed on-grid frequency.,,,,
,,29,GridVoltLimit1Low,0.1V,According to specific regulatory requirements,WD,Grid voltage level 1 undervoltage protection point,,,,
,,30,GridVoltLimit1High,0.1V,According to specific regulatory requirements,WD,Grid voltage level 1 overvoltage protection point,,,,
