variable name,data type,register,documented name,unit,values,writable,note
,32BIT_FLAGS,100~101,Fault code,,"{ ""b0"": ""Reserve"", ""b1"": ""Over temperature of DCDC module"", ""b2"": ""Battery over voltage"", ""b3"": ""Reserve"", ""b4"": ""Output short circuited"", ""b5"": ""Over Inverter voltage"", ""b6"": ""Output over load"", ""b7"": ""Bus over voltage"", ""b8"": ""Bus soft start times out"", ""b9"": ""PV over current"", ""b10"": ""PV over voltage"", ""b11"": ""Battery over current"", ""b12"": ""Inverter over current"", ""b13"": ""Bus low voltage"", ""b14"": ""Reserve"", ""b15"": ""Inverter DC component is too high"", ""b16"": ""Reserve"", ""b17"": ""The zero bias of Output current is too large"", ""b18"": ""The zero bias of inverter current is too large"", ""b19"": ""The zero bias of battery current is too large"", ""b20"": ""The zero bias of PV current is too large"", ""b21"": ""Inverter low voltage"", ""b22"": ""Inverter negative power protection"", ""b23"": ""The host in the parallel system is lost"", ""b24"": ""Synchronization signal abnormal in the parallel system"", ""b25"": ""Reserve"", ""b26"": ""Parallel versions are incompatible"" }",R,"32-bit fault code, each bit corresponds to a fault code, see the fault code table for details, fault code 1 corresponds to bit1, fault code 2 corresponds to bit2, and so on"
,32BIT_FLAGS,108~109,Obtain warning code,,"{""b0"": ""Zero crossing loss of mains power"", ""b1"": ""Mains waveform abnormal"", ""b2"": ""Mains over voltage"", ""b3"": ""Mains low voltage"", ""b4"": ""Mains over frequency"", ""b5"": ""Mains low frequency"", ""b6"": ""PV low voltage"", ""b7"": ""Over temperature"", ""b8"": ""Battery low voltage"", ""b9"": ""Battery is not connected"", ""b10"": ""Overload"", ""b11"": ""Battery Eq charging"", ""b12"": ""Battery is discharged at a low voltage and it has not been charged back to the recovery point"", ""b13"": ""Output power derating"", ""b14"": ""Fan blocked"", ""b15"": ""PV energy is too low to be used"", ""b16"": ""Parallel communication interrupted"", ""b17"": ""Output mode of Single and Parallel systems is inconsistent"", ""b18"": ""Battery voltage difference of parallel system is too large""}",R/W,32-bit warning code see the warning code description for details
Serial Number,ASCII,186~197,Series NO,,,R,12 registers
,USHORT,201,Working Mode,,"{""0"": ""Power On Mode"", ""1"": ""Standby mode"", ""2"": ""Mains mode"", ""3"": ""Off-Grid mode"", ""4"": ""Bypass mode"", ""5"": ""Charging mode"", ""6"": ""Fault mode""}",R,
,SHORT,202,Effective mains voltage,0.1V,,R,
,SHORT,203,Mains Frequency,0.01Hz,,R,
,SHORT,204,Average mains power,1w,,R,
,SHORT,205,Affective inverter voltage,0.1V,,R,
,SHORT,206,Affective inverter current,0.1A,,R,
,SHORT,207,Inverter frequency,0.01Hz,,R,
