variable name,data type,register,documented name,unit,values,writable,note

,USHORT,4501,Working Mode,,,R,
,USHORT,4502,Effective mains voltage,0.017V,,R,
,USHORT,4503,Mains Frequency,0.0008Hz,,R,
,USHORT,4504,PV voltage,0.002V,,R,
,USHORT,4505,Charging settings,,,R,
,USHORT,4506,Battery Voltage,0.012V,,R,
,USHORT,4507,Battery state ,,,R,
,SHORT,4508,Battery charge current,0.01A,,R,"Positive numbers indicate inverter output, negative numbers indicate inverter input"
,USHORT,4509,Battery discaharge current,0.01A,,R,
,USHORT,4510,Output effective voltage,0.015V,,R,
,USHORT,4511,Output effective Current,0.00005A,,R,
,USHORT,4512,Load Power,0.015W,,R,
,USHORT,4513,Load VA,0.01VA,,R,
,USHORT,4514,Inverter load percentage,0.0001%,,R,
,USHORT,4515,Seccond load percentage,0.0001%,,R,
,32BIT_FLAGS,4516,Settings1,,"{ ""b0"": ""Reserve"", ""b1"": ""ukn"", ""b2"": ""overload?"", ""b3"": ""Reserve"" }",R,
,USHORT,4517,Battery average power,0.01W,,R,
,USHORT,4519,PV average voltage,0.01V,,R,
,USHORT,4520,PV average Current,0.001A,,R,
,USHORT,4523,PV average power,0.0001W,,R,
,USHORT,4524,PV charging average power,0.01W,,R,
,USHORT,4525,Main load percentage,0.0001%,,R,
,SHORT,4526,DC to DC Temperature,0.01C,,R,
,SHORT,4527,Inverter Temperature,0.01C,,R,
,USHORT,4529,Battery percentage,0.01%,,R,
Error code,USHORT,4530,Error code,,,,
,SHORT,4532,Battery average current,0.001A,,R,"Positive number means charging, negative number means discharging"
,USHORT,4533,Inverter charging average current,0.001A,,R,
,USHORT,4534,PV charging average current,0.001A,,R,
,32BIT_FLAGS,4535,Settings2 ,,"{""b0"": ""Settings"", ""b1"": ""record fault code"", ""b2"": ""equalisation"", ""b3"": ""unk3"", ""b4"": ""equalise impatiently"", ""b5"": ""unk5"", ""b6"": ""unk6"",""b7"": ""unk7"",""b8"": ""restart on overload"",""b10"": ""restart on overheat"",""b11"": ""beep on primary power fail"",""b12"": ""return to default screen"",""b13"": ""overload bypass""}",R,
,USHORT,4536,Output Mode,,"{""0"": ""Single"", ""1"": ""Parallel"", ""2"": ""3 Phase-P1"", ""3"": ""3 Phase-P2"", ""4"": ""3 Phase-P3"", ""5"": ""Split Phase-P1"", ""6"": ""Split Phase-P2""} ",R,
,USHORT,4537,Output priority,,"{""0"": ""Utility-PV-Battery"", ""1"": ""PV-Utility-Battery"", ""2"": ""PV-Battery-Utility""} ",R,
,USHORT,4538,Input voltage range,,"{""0"": ""Wide range"", ""1"": ""Narrow range""}",R/W,0: Wide range 1: Narrow range,R,
,,,,,,,
,,,,,,,
,USHORT,4540,Output frequency,0.005Hz,,R,
,USHORT,4541,Maximum combined charging current,0.004A,,R,
,USHORT,4542,Target voltage,0.004V,,R,
,USHORT,4543,Max utility charging current,0.005A,,R/W,
,USHORT,4544,Voltage to return to utility,0.001V,,R/W,
,USHORT,4545,Voltage to return to battery,0.00085V,,R/W,
,USHORT,4546,Bulk charge voltage,0.003V,,R/W,
,USHORT,4547,Float charge voltage,0.0075V,,R/W,
,USHORT,4548,Low voltage cut off,0.001V,,R/W,
,USHORT,4549,Battery EQ voltage,0.003V,,R/W,
,USHORT,4550,Battery EQ time,0.1S,,R/W,
,USHORT,4551,Battery EQ Timeout,0.1S,,R/W,
,USHORT,4552,Battery EQ Interval,0.004D,,R/W,
,USHORT,4553,Operation mode,,"{""1"": ""On Battery"", ""2"": ""AC Active"", ""10"": ""Inverter off"", ""20"": ""AC Active"", ""40"": ""Load enabled""}",R/W,
,USHORT,4554,Bin flags,,"{""1"": ""On Battery"", ""20"": ""AC Active"", ""80"": "": ""Load enabled""}",R/W,
,USHORT,4555,Charger state,,,R,
