variable name;data type;register;documented name;length;writeable;unit;note;
;INT16;0;Current;2byte;R;10mA;Positive: charging Negative: discharging;
;UINT16;1;Voltage of pack;2byte;R;10mV;;
;UINT8;2;SOC;2byte;R;%;0~100%;
;UINT8;3;SOH;2byte;R;%;0~100%;
;UINT16;4;Remain capacity;2byte;R;10mAH;;
;UINT16;5;Full capacity;2byte;R;10mAH;;
;UINT16;6;Design capacity;2byte;R;10mAH;;
;UINT16;7;Battery cycle counts;2byte;R;Cyc.;;
;16BIT_FLAGS;9;Warning flag;2byte;R;Hex;See description-1;
;16BIT_FLAGS ;10;Protection flag;2byte;R;Hex;See description-2;
;8BIT_FLAGS ;11;Fault flag;2byte;R;Hex;See description-3;
;8BIT_FLAGS ;11.b8;Status Flag;;R;;;
;UINT16;12;Balance status;2byte;R;Hex;;
;;15;Cell voltage 1;32byte;R;mV;Voltage of 16 cells; 2 byte for each cell
;;16;Cell voltage 2;;R;mV;;
;;17;Cell voltage 3;;R;mV;;
;;18;Cell voltage 4;;R;mV;;
;;19;Cell voltage 5;;R;mV;;
;;20;Cell voltage 6;;R;mV;;
;;21;Cell voltage 7;;R;mV;;
;;22;Cell voltage 8;;R;mV;;
;;23;Cell voltage 9;;R;mV;;
;;24;Cell voltage 10;;R;mV;;
;;25;Cell voltage 11;;R;mV;;
;;26;Cell voltage 12;;R;mV;;
;;27;Cell voltage 13;;R;mV;;
;;28;Cell voltage 14;;R;mV;;
;;29;Cell voltage 15;;R;mV;;
;;30;Cell voltage 16;;R;mV;;
;4bits;31;Cell temperature 1;8byte;R;01.c;4 cell temperature; 2 byte for each cell
;4bits;31.b4;Cell temperature 2;;R;01.c;;
;4bits;31.b8;Cell temperature 3;;R;01.c;;
;4bits;31.b12;Cell temperature 4;;R;01.c;;
;4bits;32;Cell temperature 5;;R;01.c;;
;4bits;32.b4;Cell temperature 6;;R;01.c;;
;4bits;32.b8;Cell temperature 7;;R;01.c;;
;4bits;32.b12;Cell temperature 8;;R;01.c;;
;4bits;33;Cell temperature 9;;R;01.c;;
;4bits;33.b4;Cell temperature 10;;R;01.c;;
;4bits;33.b8;Cell temperature 11;;R;01.c;;
;4bits;33.b12;Cell temperature 12;;R;01.c;;
;4bits;34;Cell temperature 13;;R;01.c;;
;4bits;34.b4;Cell temperature 14;;R;01.c;;
;4bits;34.b8;Cell temperature 15;;R;01.c;;
;4bits;34.b12;Cell temperature 16;;R;01.c;;
;INT16;35;MOSFET temperature;2byte;R;0.1c;Or invalid;
