variable name,data type,register,documented name,read interval,description,customer write,values,unit,Initial value,note,,,,,,,,,,,,
,,0,On_Off,,"The Standby On/Off state and the AC output DisEN/EN state; The low byte is the Standby on/off(1/0), the high byte is the AC output disable/enable (1/0).",,"0x0000:??? Standby??? off, Output enable; 0x0001:??? Standby??? on, Output enable; 0x0100:??? Standby??? off, Output disable; 0x0101:??? Standby??? on, Output disable;",,0,,,,,,,,,,,,,
,,1,OutputConfig,10x,AC output set,W,"{""0"": ""BAT First"", ""1"": ""PV First"",""2"": ""UTI First""}",,,,,0,,,,,,,,,,
,,2,ChargeConfig,10x,Charge source set,W,"{""0"": ""PV first"",""1"": ""PV&UTI"",""2"": ""PV Only""}",,,,,0,,,,,,,,,,
,,3,UtiOutStart,10x,Uti Output Start Time,W,0-23,H(hour),0,,,,,,,,,,,,,
,,4,UtiOutEnd,10x,Uti Output End Time,W,0-23,H(hour),0,,,,,,,,,,,,,
,,5,UtiChargeStart,10x,Uti Charge Start Time,W,0-23,H(hour),0,,,,,,,,,,,,,
,,6,UtiChargeEnd,10x,Uti Charge End Time,W,0-23,H(hour),0,,,,,,,,,,,,,
,,7,PVModel,10x,PV Input Mode,W,"{""0"": ""Independent"", ""1"": ""Parallel""}",,,,0,,,,,,,,,,,
,,8,ACInModel,10x,AC Input Mode,W,"{""0"": ""APL,90-280VAC"", ""1"": ""UPS,170-280VAC""}",,0,,,,,,,,,,,,,
,ASCII,r9~11,Fw version,10x,Firmware version (high),,,ASCII,,,,,,,,,,,,,,
,ASCII,r12~14,Fw version2 H,10x,Control Firmware version (high),,,ASCII,,,,,,,,,,,,,,
,,15,LCD language,10x,LCD language,W,"{""0"" : ""Chinese?"", ""1"" : ""English""}",,1,English,,,,,,,,,,,,
,,18,OutputVoltType,10x,Output Volt Type,W,"{""0"": ""208VAC"", ""1"": ""230VAC"", ""2"": ""240VAC""}",,,1,,,,,,,,,,,,
,,19,OutputFreqType,10x,Output Freq Type,W,"{""0"": ""50Hz"", ""1"": ""60Hz""}",,,0,,,,,,,,,,,,
,,20,OverLoadRestart,10x,Over Load Restart,W,"{""0"": ""Yes"", ""1"": ""No"", ""2"": ""Swith to UTI""}",, 2: Swith to UTI,,,0,Yes(over???? Load 1mins????????????? to restart,?????? after over Load three times?? to?? stop output),,,,,,,,
,,21,OverTempRestart,10x,Over Temperature Restart,W,"{""0"": ""Yes"", ""1"": ""No""}",,,,0,Yes(over Temperature to???? restart?? , after??????????? over Temperature three? times? to stop output),,,,,,,,,
,,22,BuzzerEN,10x,Buzzer on/off enable,W,"{""1"": ""Enable"", ""0"": ""Disable""}",,,,1,,,,,,,,,,,
Serial Number,ASCII,r23-27,Serial NO 5,10x,Serial number 5,W,,ASCII,,,,,,,,,,,,,,
,,28,Moudle H,10x,Inverter Moudle (high),W,,,,Can be set at standy?? state Only,,,,,,,,,,,,
,,29,Moudle L,10x,Inverter Moudle (low),W,P-battery type: 0: Lead_Acid,, 2: CustomLead_Acid, U-user type: 0: No verndor, 1: Sigineer, 2: CPS, 3: Haiti, M-power rate: 3: 3KW, 5:5KW, S-Aging, 0: Normal Mode, 1: Aging Mode,,,,Can be set at standy?? state Only
,,30,Com Address,10x,Communicate?? address,W,1~254,,1,,,,,,,,,,,,,
,,31,FlashStart,10x,Update firmware,W,0x0001: own 0X0100: control broad,,,,,,,,,,,,,,,
,,32,Reset User Info,10x,Reset User Information,W,0x0001,,,,,,,,,,,,,,,
,,33,Reset to factory,10x,Reset to factory,W,0x0001,,,,,,,,,,,,,,,
,,34,MaxChargeCurr,10x,Max Charge Current,W,10~130,1A,70,,,,,,,,,,,,,
,,35,BulkChargeVolt,10x,Bulk Charge Volt,W,500~580,0.1V,564,,,,,,,,,,,,,
,,36,FloatChargeVolt,10x,Float Charge Volt,W,500~560,0.1V,540,,,,,,,,,,,,,
,,37,BatLowToUtiVolt,10x,Bat Low Volt Switch To Uti,W,444~514,0.1V,464,,,,,,,,,,,,,
,,38,FloatChargeCurr,10x,Float Charge Current,W,0~80,0.1A,,,,,,,,,,,,,,
,,39,Battery Type,10x,Battery Type,W,"{""0"": ""Lead_Acid"", ""1"": ""Lithium"", ""2"": ""CustomLead_Acid""}",, 2: CustomLead_Acid,,,1,Can be set at standy?? state Only,,,,,,,,,
,,40,Aging Mode,10x,Aging Mode,W,"{""0"": ""Normal Mode"", ""1"": ""Aging Mode""}",,,,0,Can be set at standy?? state Only,,,,,,,,,,
,,43,DTC,10x,Device Type Code,,&*6,,,,,,,,,,,,,,,
,,45,Sys Year,10x,System time-year,W,Year offset is 2000,,,,,,,,,,,,,,,
,,46,Sys Month,10x,System time- Month,W,,,,,,,,,,,,,,,,
,,47,Sys Day,10x,System time- Day,W,,,,,,,,,,,,,,,,
,,48,Sys Hour,10x,System time- Hour,W,,,,,,,,,,,,,,,,
,,49,Sys Min,10x,System time- Min,W,,,,,,,,,,,,,,,,
,,50,Sys Sec,10x,System time- Second,W,,,,,,,,,,,,,,,,
,ASCII,59-66,Manufacturer Info,10x,Manufacturer information (high),,,ASCII,,,,,,,,,,,,,,
,,67,FW Build No_ 4,10x,Control FW Build No. 2,,,ASCII,,,,,,,,,,,,,,
,,68,FW Build No_ 3,10x,Control FW Build No. 1,,,,,,,,,,,,,,,,,
,,69,FW Build No_ 2,10x,COM FW Build No. 2,,,,,,,,,,,,,,,,,
,,70,FW Build No_ 1,10x,COM FW Build No. 1,,,ASCII,,,,,,,,,,,,,,
,,72,Sys Weekly,10x,Sys Weekly,W,0-6,,,,,,,,,,,,,,,
,,73,ModbusVersion,10x,Modbus Version,,Eg:207 is V2.07,Int(16bit s),,,,,,,,,,,,,,
,,76,Rate Watt H ,10x,Rate active power(high) ,,,0.1W,,,,,,,,,,,,,,
,,77,Rate Watt L ,10x,Rate active power(low) ,,,0.1W,,,,,,,,,,,,,,
,,78,Rate VA H ,10x,Rata apparent power (high) ,,,0.1VA,,,,,,,,,,,,,,
,,79,Rate VA L ,10x,Rate apparent power (low) ,,,0.1VA,,,,,,,,,,,,,,
,,80,Factory,10x,The ODM Info code,,,,,,,,,,,,,,,,,
,,162,BLVersion2,10x,Boot loader version2,R,,,,,,,,,,,,,,,,
