variable name;data_type;register;documented name;description;customer write;values;unit;Initial value;note;;;;;;;;;;;;
;;0;On_Off;"The Standby On/Off state and the AC output DisEN/EN state; The low byte is the Standby on/off(1/0), the high byte is the AC output disable/enable (1/0).";;"0x0000:    Standby    off, Output enable; 0x0001:    Standby    on, Output enable; 0x0100:    Standby    off, Output disable; 0x0101:    Standby    on, Output disable;";;0;;;;;;;;;;;;;
;;1;OutputConfig;AC output set;W;"{""0"": ""BAT First"", ""1"": ""PV First"",""2"": ""UTI First""}";;;;;0;;;;;;;;;;
;;2;ChargeConfig;Charge source set;W;"{""0"": ""PV first"",""1"": ""PV&UTI"",""2"": ""PV Only""}";;;;;0;;;;;;;;;;
;;3;UtiOutStart;Uti Output Start Time;W;0-23;H(hour);0;;;;;;;;;;;;;
;;4;UtiOutEnd;Uti Output End Time;W;0-23;H(hour);0;;;;;;;;;;;;;
;;5;UtiChargeStart;Uti Charge Start Time;W;0-23;H(hour);0;;;;;;;;;;;;;
;;6;UtiChargeEnd;Uti Charge End Time;W;0-23;H(hour);0;;;;;;;;;;;;;
;;7;PVModel;PV Input Mode;W;"{""0"": ""Independent"", ""1"": ""Parallel""}";;;;0;;;;;;;;;;;
;;8;ACInModel;AC Input Mode;W;"{""0"": ""APL,90-280VAC"", ""1"": ""UPS,170-280VAC""}";;0;;;;;;;;;;;;;
;ASCII;r9~11;Fw version;Firmware version (high);;;ASCII;;;;;;;;;;;;;;
;ASCII;r12~14;Fw version2 H;Control Firmware version (high);;;ASCII;;;;;;;;;;;;;;
;;15;LCD language;LCD language;W;"{""0"" : ""Chinese?"", ""1"" : ""English""}";;1;English;;;;;;;;;;;;
;;18;OutputVoltType;Output Volt Type;W;"{""0"": ""208VAC"", ""1"": ""230VAC"", ""2"": ""240VAC""}";;;1;;;;;;;;;;;;
;;19;OutputFreqType;Output Freq Type;W;"{""0"": ""50Hz"", ""1"": ""60Hz""}";;;0;;;;;;;;;;;;
;;20;OverLoadRestart;Over Load Restart;W;"{""0"": ""Yes"", ""1"": ""No"", ""2"": ""Swith to UTI""}";; 2: Swith to UTI;;;0;Yes(over     Load 1mins              to restart;       after over Load three times   to   stop output);;;;;;;;
;;21;OverTempRestart;Over Temperature Restart;W;"{""0"": ""Yes"", ""1"": ""No""}";;;;0;Yes(over Temperature to     restart   ; after            over Temperature three  times  to stop output);;;;;;;;;
;;22;BuzzerEN;Buzzer on/off enable;W;"{""1"": ""Enable"", ""0"": ""Disable""}";;;;1;;;;;;;;;;;
Serial Number;ASCII;r23-27;Serial NO 5;Serial number 5;W;;ASCII;;;;;;;;;;;;;;
;;28;Moudle H;Inverter Moudle (high);W;;;;Can be set at standy   state Only;;;;;;;;;;;;
