variable name,data type,register,documented name,description,writable,values,unit,note
,BYTE,0x000B,Product type,,R,"{""0"": ""domestic controller"", ""1"": ""controller for street light"", ""3"": ""grid-connected inverter"", ""4"": ""all-in-one solar charger inverter"", ""5"": ""power frequency off-grid""}",,
,,0x0014,Software version,,R,,0.01,
,,0x0016,Hardware version,,R,,0.01,
,BYTE,0x001A,RS485 address,,R,1~247,,
,,0x001C,RS485 version,,R,,0.01,
,ASCII,0x0035~0x0048,Product SN,,R,,,
,,0x0100,Battery capacity SOC,,R,0~100,%,
,,0x0101,Battery voltage,,R,,0.1V,
,SHORT,0x0102,Battery current,,R,,0.1A,
,SHORT,0x0103,Battery temperature,,R,,0.1C,
,,0x0107,PV1 voltage,,R,,0.1V,
,,0x0108,PV1 current,,R,,0.1A,
,,0x0109,PV1 power,,R,,W,
,,0x010F,PV2 voltage,,R,,0.1V,
,,0x0110,PV2 current,,R,,0.1A,
,,0x0111,PV2 power,,R,,W,
,BYTE,0x010B,Device Charge state,,R,"{""0"": ""Charge off"", ""1"": ""Quick charge"", ""2"": ""Const voltage charge"", ""4"": ""Float charge"", ""6"": ""Li battery activate"", ""8"": ""Full""}",,
,,0x010E,Device Total charging power,,R,,W,
,BYTE,0x0210,Device state,,R,"{""0"": ""Initialization"", ""1"": ""Standby"", ""2"": ""AC power operation"", ""3"": ""Inverter operation""}",,
,,0x0212,Device Bus Voltage Sum,,R,,0.1V,
,,0x0213,Grid phase_A voltage,,R,,0.1V,
,,0x0214,Grid phase_A current,,R,,0.1A,
,,0x022A,Grid phase_B voltage,,R,,0.1V,
,,0x0238,Grid phase_B current,,R,,0.1A,
,,0x022B,Grid phase_C voltage,,R,,0.1V,
,,0x0239,Grid phase_C current,,R,,0.1A,
,,0x0215,Grid frequency,,R,,0.01Hz,
,,0x0216,Inverter phase_A output voltage,,R,,0.1V,
,,0x0217,Inverter phase_A inductive current,,R,,0.1A,
,,0x022C,Inverter phase_B output voltage,,R,,0.1V,
,,0x022E,Inverter phase_B inductive current,,R,,0.1A,
,,0x022D,Inverter phase_C output voltage,,R,,0.1V,
,,0x022F,Inverter phase_C inductive current,,R,,0.1A,
,,0x0218,Inverter frequency,,R,,0.01Hz,
,,0x0219,Load Phase_A current,,R,,0.1A,
,,0x021B,Load Phase_A active power,,R,,W,
,,0x021C,Load Phase_A apparent power,,R,,VA,
,,0x021F,Load Phase_A ratio,,R,0~100,%,
,,0x0230,Load Phase_B current,,R,,0.1A,
,,0x0232,Load Phase_B active power,,R,,W,
,,0x0234,Load Phase_B apparent power,,R,,VA,
,,0x0236,Load Phase_B ratio,,R,0~100,%,
,,0x0231,Load Phase_C current,,R,,0.1A,
,,0x0233,Load Phase_C active power,,R,,W,
,,0x0235,Load Phase_C apparent power,,R,,VA,
,,0x0237,Load Phase_C ratio,,R,0~100,%,
,,0xF000,Stats PVEnergyYesterday,,R,,0.1kWh,
,,0xF001,Stats PVEnergy2Dayago,,R,,0.1kWh,
,,0xF002,Stats PVEnergy3Dayago,,R,,0.1kWh,
,,0xF003,Stats PVEnergy4Dayago,,R,,0.1kWh,
,,0xF004,Stats PVEnergy5Dayago,,R,,0.1kWh,
,,0xF005,Stats PVEnergy6Dayago,,R,,0.1kWh,
,,0xF006,Stats PVEnergy7Dayago,,R,,0.1kWh,
,,0xF007,Stats BatChgEnergyYesterday,,R,,1AH,
,,0xF008,Stats BatChgEnergy2Dayago,,R,,1AH,
,,0xF009,Stats BatChgEnergy3Dayago,,R,,1AH,
,,0xF00A,Stats BatChgEnergy4Dayago,,R,,1AH,
,,0xF00B,Stats BatChgEnergy5Dayago,,R,,1AH,
,,0xF00C,Stats BatChgEnergy6Dayago,,R,,1AH,
,,0xF00D,Stats BatChgEnergy7Dayago,,R,,1AH,
,,0xF00E,Stats BatDischgEnergyYesterday,,R,,1AH,
,,0xF00F,Stats BatDischgEnergy2Dayago,,R,,1AH,
,,0xF010,Stats BatDischgEnergy3Dayago,,R,,1AH,
,,0xF011,Stats BatDischgEnergy4Dayago,,R,,1AH,
,,0xF012,Stats BatDischgEnergy5Dayago,,R,,1AH,
,,0xF013,Stats BatDischgEnergy6Dayago,,R,,1AH,
,,0xF014,Stats BatDischgEnergy7Dayago,,R,,1AH,
,,0xF015,Stats GridChgEnergyYesterday,,R,,1AH,
,,0xF016,Stats GridChgEnergy2Dayago,,R,,1AH,
,,0xF017,Stats GridChgEnergy3Dayago,,R,,1AH,
,,0xF018,Stats GridChgEnergy4Dayago,,R,,1AH,
,,0xF019,Stats GridChgEnergy5Dayago,,R,,1AH,
,,0xF01A,Stats GridChgEnergy6Dayago,,R,,1AH,
,,0xF01B,Stats GridChgEnergy7Dayago,,R,,1AH,
,,0xF02C,Stats GenerateEnergyToGridTday,,R,,0.1kWh,
,,0xF02D,Stats BatChgTday,,R,,1AH,
,,0xF02E,Stats BatDischgTday,,R,,1AH,
,,0xF02F,Stats GenerateEnergyTday,,R,,0.1kWh,
,,0xF030,Stats UsedEnergyTday,,R,,0.1kWh,
,,0xF031,Stats WorkDaysTotal,,R,,1d,
,,0xF038,Stats GeneratEnergyTotal,,R,,0.1kWh,
,,0xF03C,Stats GridChgEnergyTday,,R,,1AH,
,,0xF03D,Stats GridLoadConsumTday,,R,,0.1kWh,
,,0xF03E,Stats InvWorkTimeTday,,R,,1min,
,,0xF03F,Stats GridWorkTimeTday,,R,,1min,
,,0xF04A,Stats InvWorkTimeTotal,,R,,1h,
,,0xF04B,Stats GridWorkTimeTotal,,R,,1h,
