variable name,data type,register,documented name,description,writable,values,unit,note
,BYTE,0x000B,Product type,,R,"{""0"": ""domestic controller"", ""1"": ""controller for street light"", ""3"": ""grid-connected inverter"", ""4"": ""all-in-one solar charger inverter"", ""5"": ""power frequency off-grid""}",,
,,x14,Software version 1,,R,,0.01,
,,x15,Software version 2,,R,,0.01,
,,x16,Hardware version 1,,R,,0.01,
,,x17,Hardware version 2,,R,,0.01,
,,0x001A,RS485 address,,R,1~247,,
,,x1B,Model Code,,R,,,
,,0x001C,RS485 version,,R,,0.01,
,ASCII,x21~x34,software compilation time ,,R,,,
,ASCII,0x0035~0x0048,Product SN,,R,,,
,,0x0100,Battery capacity SOC,,R,0~100,%,
,,0x0101,Battery voltage,,R,,0.1V,
,SHORT,0x0102,Battery current,,R,,0.1A,
,BYTE,x103,Controller temperature,,R,,C,
,BYTE,x103.b8,Battery temperature,,R,,C,
,,x104,Load DC Voltage,,R,,0.1V,
,,x105,Load DC Current,,R,,0.01A,
,,x106,Load DC Power,,R,,W,
,,0x0107,PV1 voltage,,R,,0.1V,
,,0x0108,PV1 current,,R,,0.1A,
,,0x0109,PV1 power,,R,,W,
,,0x010F,PV2 voltage,,R,,0.1V,
,,0x0110,PV2 current,,R,,0.1A,
,,0x0111,PV2 power,,R,,W,
,,0x010B,Device Charge state,,R,"{""0"": ""Charge off"", ""1"": ""Quick charge"", ""2"": ""Const voltage charge"", ""4"": ""Float charge"", ""6"": ""Li battery activate"", ""8"": ""Full""}",,
,,0x010E,Device Total charging power,,R,,W,
,16BIT_FLAGS,x200,Fault Bits 1,,R,,,
,16BIT_FLAGS,x201,Fault Bits 2,,R,,,
,16BIT_FLAGS,x202,Fault Bits 3,,R,,,
,16BIT_FLAGS,x203,Fault Bits 4,,R,,,
,,x204,Fault Code 1,,R,,,
,,x205,Fault Code 2,,R,,,
,,x206,Fault Code 3,,R,,,
,,x207,Fault Code 4,,R,,,
,BYTE,x20C,Current Time Year,,RW,,,
,BYTE,x20C.b8,Current Time Month,,RW,,,
,BYTE,x21D,Current Time Day,,RW,,,
,BYTE,x21D.b8,Current Time Hour,,RW,,,
,BYTE,x21E,Current Time Minute,,RW,,,
,BYTE,x21E.b8,Current Time Second,,RW,,,
,,0x0210,Device state,,R,"{""0"":""Power-up delay"",""1"":""Waiting state"",""2"":""Initialization"",""3"":""Soft start"",""4"":""Mains powered operation"",""5"":""Inverter powered operation"",""6"":""Inverter to mains"",""7"":""Mains to inverter"",""8"":""Battery activate"",""9"":""Shutdown by user"",""10"":""Fault""}",,
,,x211,Password protection status mark ,,R,"{""0"":""No password entered by the user"",""1"":""User password has been entered"",""4"":""Manufacturer password has been entered""}",,
,,0x0212,Device Bus Voltage Sum,,R,,0.1V,
,,0x0213,Grid phase-A voltage,,R,,0.1V,
,,0x0214,Grid phase-A current,,R,,0.1A,
,,0x0215,Grid frequency,,R,,0.01Hz,
,,0x0216,Inverter phase-A output voltage,,R,,0.1V,
,,0x0217,Inverter phase-A inductive current,,R,,0.1A,
