variable name,data type,register,documented name,description,writable,values,unit,note
,byte,0x000A,max voltage supported by the system,,R,12~96,V,
,byte,0x000A.b8,rated charging Current,,R,10~60,A,
,byte,0x000B,rated discharging current ,,R,10~60,A,
,byte,0x000B.b8,product type ,,R,"{""0"": ""controller"", ""01"": ""inverter""}",,
,ASCII,0x000C~0x0013 ,Product model ,,R,,,
,ASCII,0x0014~0x0015,Software version ,,R,,,
,ASCII,0x0016~0x0017,Hardware version ,,R,,,
serial number,ASCII,0x0018~0x0019,Product serial number ,,R,,,
,byte,0x001A.b8,device address ,,RW,1~247,,
,byte,0x0100.b8,Battery capacity SOC ,,R,0~100,,
,,0x0101,Battery voltage ,,R,,0.1V,
,,0x0102,Charging current to battery ,,R,,0.01A,
,8SMBIT,0x0103,Controller temperature ,,R,,C,
,8SMBIT,0x0103.b8,Battery temperature ,,R,,C,
,,0x0104,Load dc voltage ,,R,,0.1V,
,,0x0105,Load dc current ,,R,,0.01A,
,,0x0106,Load dc power ,,R,,W,
,,0x0107,Solar panel voltage ,,R,,V,
,,0x0108,Solar panel current to controller,,R,,0.01A,
,,0x0109,Charging power ,,R,,W,
,,0x010A,Load OnOff command,"0001 to turn on the load, 0000to turn off the load",RW,0~1,,
,,0x010B,Batterys min voltage of the current day,,R,,V,
,,0x010C,Batterys max voltage of the current day,,R,,V,
,,0x010D,Max charging current of the current day,,R,,0.01A,
,,0x010E,Max Discharging current of the current day,,R,,0.01A,
,,0x010F,Max  charging power of the current day,,R,,W,
,,0x0110,Max  discharging power of the current day,,R,,W,
,,0x0111,Charging amp hrs of the current day,,R,,AH,
,,0x0112,Discharging amp hrs of the current day ,,R,,AH,
,,0x0113,Power generation of the current day,,R,,W,
,,0x0114,Power consumption of the day ,,R,,W,
,,0x0115,Total number of operating days ,,R,,Days,
,,0x0116,Total number of battery over discharges ,,R,,,
,,0x0117,Total number of battery full charges ,,,,,
,UINT,0x0118~0x0119,Total charging amp hrs of the battery ,,R,,AH,
