variable name,data type,register,documented name,description,writable,values,unit,note
,ascii.6,800,system/Serial,com.victronenergy.system-Serial (System),no,,1,System value -> MAC address of CCGX (represented as string)
,uint16,806,system/Relay/0/State,com.victronenergy.system-CCGX Relay 1 state,yes,"{""0"":""Open"",""1"":""Closed""}",,
,uint16,807,system/Relay/1/State,com.victronenergy.system-CCGX Relay 2 state,yes,"{""0"":""Open"",""1"":""Closed""}",,Relay 1 is available on Venus GX only.
,uint16,808,system/Ac/PvOnOutput/L1/Power,com.victronenergy.system-PV - AC-coupled on output L1,no,0 to 65536,W,Summation of all AC-Coupled PV Inverters on the output
,uint16,809,system/Ac/PvOnOutput/L2/Power,com.victronenergy.system-PV - AC-coupled on output L2,no,0 to 65536,W,
,uint16,810,system/Ac/PvOnOutput/L3/Power,com.victronenergy.system-PV - AC-coupled on output L3,no,0 to 65536,W,
,uint16,811,system/Ac/PvOnGrid/L1/Power,com.victronenergy.system-PV - AC-coupled on input L1,no,0 to 65536,W,Summation of all AC-Coupled PV Inverters on the input
,uint16,812,system/Ac/PvOnGrid/L2/Power,com.victronenergy.system-PV - AC-coupled on input L2,no,0 to 65536,W,
,uint16,813,system/Ac/PvOnGrid/L3/Power,com.victronenergy.system-PV - AC-coupled on input L3,no,0 to 65536,W,
,uint16,814,system/Ac/PvOnGenset/L1/Power,com.victronenergy.system-PV - AC-coupled on generator L1,no,0 to 65536,W,Summation of all AC-Coupled PV Inverters on a generator. Bit theoretic; this will never be used.
,uint16,815,system/Ac/PvOnGenset/L2/Power,com.victronenergy.system-PV - AC-coupled on generator L2,no,0 to 65536,W,
,uint16,816,system/Ac/PvOnGenset/L3/Power,com.victronenergy.system-PV - AC-coupled on generator L3,no,0 to 65536,W,
,uint16,817,system/Ac/Consumption/L1/Power,com.victronenergy.system-AC Consumption L1,no,0 to 65536,W,Power supplied by system to loads.
,uint16,818,system/Ac/Consumption/L2/Power,com.victronenergy.system-AC Consumption L2,no,0 to 65536,W,
,uint16,819,system/Ac/Consumption/L3/Power,com.victronenergy.system-AC Consumption L3,no,0 to 65536,W,
,int16,820,system/Ac/Grid/L1/Power,com.victronenergy.system-Grid L1,no,-32768 to 32767,W,Power supplied by Grid to system.
,int16,821,system/Ac/Grid/L2/Power,com.victronenergy.system-Grid L2,no,-32768 to 32767,W,
,int16,822,system/Ac/Grid/L3/Power,com.victronenergy.system-Grid L3,no,-32768 to 32767,W,
,int16,823,system/Ac/Genset/L1/Power,com.victronenergy.system-Genset L1,no,-32768 to 32767,W,Power supplied by Genset tot system.
,int16,824,system/Ac/Genset/L2/Power,com.victronenergy.system-Genset L2,no,-32768 to 32767,W,
,int16,825,system/Ac/Genset/L3/Power,com.victronenergy.system-Genset L3,no,-32768 to 32767,W,
,int16,826,system/Ac/ActiveIn/Source,com.victronenergy.system-Active input source,no,"{""0"":""Unknown"",""1"":""Grid"",""2"":""Generator"",""3"":""Shore power"",""240"":""Not connected""}",,"0 indicates that there is an active input, but it is not configured under Settings ? System setup."
,uint64,830,systemINTERNAL,com.victronenergy.system-System time in UTC,RD,0 to 18446744073709551615,1seconds,
,uint16,840,system/Dc/Battery/Voltage,com.victronenergy.system-Battery Voltage (System),no,0 to 6553.5,10V DC,"Battery Voltage determined from different measurements. In order of preference: BMV-voltage (V), Multi-DC-Voltage (CV), MPPT-DC-Voltage (ScV), Charger voltage"
,int16,841,system/Dc/Battery/Current,com.victronenergy.system-Battery Current (System),no,-3276.8 to 3276.7,10A DC,Postive: battery begin charged. Negative: battery being discharged
,int16,842,system/Dc/Battery/Power,com.victronenergy.system-Battery Power (System),no,-32768 to 32767,1W,Postive: battery begin charged. Negative: battery being discharged
,uint16,843,system/Dc/Battery/Soc,com.victronenergy.system-Battery State of Charge (System),no,0 to 100,1%,"Best battery state of charge, determined from different measurements."
,uint16,844,system/Dc/Battery/State,com.victronenergy.system-Battery state (System),no,0 to 65536,10=idle;1=charging;2=discharging,
,uint16,845,system/Dc/Battery/ConsumedAmphours,com.victronenergy.system-Battery Consumed Amphours (System),no,0 to -6553.6,-10Ah,
,uint16,846,system/Dc/Battery/TimeToGo,com.victronenergy.system-Battery Time to Go (System),no,0 to 6553600,0.01s,Special value: 0 = charging
,uint16,850,system/Dc/Pv/Power,com.victronenergy.system-PV - DC-coupled power,no,0 to 65536,1W,Summation of output power of all connected Solar Chargers
,int16,851,system/Dc/Pv/Current,com.victronenergy.system-PV - DC-coupled current,no,-3276.8 to 3276.7,10A DC,Summation of output current of all connected Solar Chargers
,uint16,855,system/Dc/Charger/Power,com.victronenergy.system-Charger power,no,0 to 65536,1W,
,int16,860,system/Dc/System/Power,com.victronenergy.system-DC System Power,no,-32768 to 32767,1W,Power supplied by Battery to system.
,int16,865,system/Dc/Vebus/Current,com.victronenergy.system-VE.Bus charge current (System),no,-3276.8 to 3276.7,10A DC,Current flowing from the Multi to the dc system. Negative: the other way around.
,int16,866,system/Dc/Vebus/Power,com.victronenergy.system-VE.Bus charge power (System),no,-32768 to 32767,1W,System value etc. AND: Positive: power flowing from the Multi to the dc system. Negative: the other way around.
,uint16,3,vebus/Ac/ActiveIn/L1/V,com.victronenergy.vebus-Input voltage phase 1,no,0 to 6553.5,10V AC,
,uint16,4,vebus/Ac/ActiveIn/L2/V,com.victronenergy.vebus-Input voltage phase 2,no,0 to 6553.5,10V AC,
,uint16,5,vebus/Ac/ActiveIn/L3/V,com.victronenergy.vebus-Input voltage phase 3,no,0 to 6553.5,10V AC,
,int16,6,vebus/Ac/ActiveIn/L1/I,com.victronenergy.vebus-Input current phase 1,no,-3276.8 to 3276.7,10A AC,Positive: current flowing from mains to Multi. Negative: current flowing from Multi to mains.
,int16,7,vebus/Ac/ActiveIn/L2/I,com.victronenergy.vebus-Input current phase 2,no,-3276.8 to 3276.7,10A AC,Positive: current flowing from mains to Multi. Negative: current flowing from Multi to mains.
,int16,8,vebus/Ac/ActiveIn/L3/I,com.victronenergy.vebus-Input current phase 3,no,-3276.8 to 3276.7,10A AC,Positive: current flowing from mains to Multi. Negative: current flowing from Multi to mains.
,int16,9,vebus/Ac/ActiveIn/L1/F,com.victronenergy.vebus-Input frequency 1,no,-327.68 to 327.67,100Hz,
,int16,10,vebus/Ac/ActiveIn/L2/F,com.victronenergy.vebus-Input frequency 2,no,-327.68 to 327.67,100Hz,
,int16,11,vebus/Ac/ActiveIn/L3/F,com.victronenergy.vebus-Input frequency 3,no,-327.68 to 327.67,100Hz,
,int16,12,vebus/Ac/ActiveIn/L1/P,com.victronenergy.vebus-Input power 1,no,-327680 to 327670,0.1VA or Watts,Sign meaning equal to Input current
,int16,13,vebus/Ac/ActiveIn/L2/P,com.victronenergy.vebus-Input power 2,no,-327680 to 327670,0.1VA or Watts,Sign meaning equal to Input current
,int16,14,vebus/Ac/ActiveIn/L3/P,com.victronenergy.vebus-Input power 3,no,-327680 to 327670,0.1VA or Watts,Sign meaning eaqual to Input current
,uint16,15,vebus/Ac/Out/L1/V,com.victronenergy.vebus-Output voltage phase 1,no,0 to 6553.5,10V AC,
,uint16,16,vebus/Ac/Out/L2/V,com.victronenergy.vebus-Output voltage phase 2,no,0 to 6553.5,10V AC,
,uint16,17,vebus/Ac/Out/L3/V,com.victronenergy.vebus-Output voltage phase 3,no,0 to 6553.5,10V AC,
,int16,18,vebus/Ac/Out/L1/I,com.victronenergy.vebus-Output current phase 1,no,-3276.8 to 3276.7,10A AC,Postive: current flowing from Multi to the load. Negative: current flowing from load to the Multi.
,int16,19,vebus/Ac/Out/L2/I,com.victronenergy.vebus-Output current phase 2,no,-3276.8 to 3276.7,10A AC,Postive: current flowing from Multi to the load. Negative: current flowing from load to the Multi.
,int16,20,vebus/Ac/Out/L3/I,com.victronenergy.vebus-Output current phase 3,no,-3276.8 to 3276.7,10A AC,Postive: current flowing from Multi to the load. Negative: current flowing from load to the Multi.
,int16,21,vebus/Ac/Out/L1/F,com.victronenergy.vebus-Output frequency,no,-327.68 to 327.67,100Hz,
