variable name,data type,register,documented_name,description,write,values,unit,note
,,1,Protocol_Type,,R,,,Positive: charging Negative: discharging
,,2,Protocol_Version,,R,,,
,ASCII,3~4,BMS_Firmware_Version,,,,,
,ASCII,4~5,BMS_Hardware_Version,,,,,
,,,,,,,,
,,x10,Number_of_Cells,,,,,
,,x11,Cell_Voltage_1,,,,0.1V,
,,x12,Cell_Voltage_2,,,,0.1V,
,,x13,Cell_Voltage_3,,,,0.1V,
,,x14,Cell_Voltage_4,,,,0.1V,
,,x15,Cell_Voltage_5,,,,0.1V,
,,x16,Cell_Voltage_6,,,,0.1V,
,,x17,Cell_Voltage_7,,,,0.1V,
,,x18,Cell_Voltage_8,,,,0.1V,
,,x19,Cell_Voltage_9,,,,0.1V,
,,x1A,Cell_Voltage_10,,,,0.1V,
,,x1B,Cell_Voltage_11,,,,0.1V,
,,x1C,Cell_Voltage_12,,,,0.1V,
,,x1D,Cell_Voltage_13,,,,0.1V,
,,x1E,Cell_Voltage_14,,,,0.1V,
,,x1F,Cell_Voltage_15,,,,0.1V,
,,x20,Cell_Voltage_16,,,,0.1V,
,,x21,Cell_Voltage_17,,,,0.1V,
,,x22,Cell_Voltage_18,,,,0.1V,
,,x23,Cell_Voltage_19,,,,0.1V,
,,x24,Cell_Voltage_20,,,,0.1V,
,,,,,,,,
,,x25,Number_of_Temperature_Sensors,,,,,
,,x26,Temperature_Sensor_1,,,,,
,,x27,Temperature_Sensor_2,,,,,
,,x28,Temperature_Sensor_3,,,,,
,,x29,Temperature_Sensor_4,,,,,
,,x2A,Temperature_Sensor_5,,,,,
,,x2B,Temperature_Sensor_6,,,,,
,,x2C,Temperature_Sensor_7,,,,,
,,x2D,Temperature_Sensor_8,,,,,
,,x2E,Temperature_Sensor_9,,,,,
,,x2F,Temperature_Sensor_10,,,,,
,,,,,,,,
,,x30,Module_charge_current,,,,0.1A,
,,x31,Module_discharge_current,,,,0.1A,
,,x32,Module_voltage,,,,0.1V,
,,x33,SOC,,,,%,
,,x34,Module_total_capacity,,,,mAH,
,,,,,,,,
,,x36,Pack_parallel_number,,,,,
,16BIT_FLAGS,x37,Charge_Alarm,,,"{""b15"":""Reserved"",""b14"":""Reserved"",""b13"":""Reserved"",""b12"":""Reserved"",""b11"":""Reserved"",""b10"":""Reserved"",""b9"":""Reserved"",""b8"":""Reserved"",""b7"":""Reserved"",""b6"":""Reserved"",""b5"":""Reserved"",""b4"":""Reserved"",""b3"":""Charge over current alarm"",""b2"":""Charge low temperature alarm"",""b1"":""Cell over voltage alarm"",""b0"":""Charge over temperature alarm""}",,
,16BIT_FLAGS,x38,Discharge_Alarm,,,"{""b15"":""Reserved"",""b14"":""Reserved"",""b13"":""Reserved"",""b12"":""Reserved"",""b11"":""Reserved"",""b10"":""Reserved"",""b9"":""Reserved"",""b8"":""Reserved"",""b7"":""Reserved"",""b6"":""Reserved"",""b5"":""Reserved"",""b4"":""Reserved"",""b3"":""Cell voltage low alarm"",""b2"":""Mosfet over temperature alarm"",""b1"":""Discharge low temperature alarm"",""b0"":""Discharge over temperature alarm""}",,
