variable name,data type,register,documented name,description,customer write,values,unit,note
,,0,Current,,R,,0.01A,Positive: charging Negative: discharging
,,1,Voltage of pack,,R,,0.01V,
,BYTE,2,SOC,,R,0~100,,0~100
,BYTE,3,SOH,,R,0~100,,0~100
,,4,Remain capacity,,R,,0.01AH,
,,5,Full capacity,,R,,0.01AH,
,,6,Design capacity,,R,,0.01AH,
,,7,Battery cycle counts,,R,,Cyc.,
,,9,Warning flag,,R,"{""b0"": ""battery cell overvoltage alarm"", ""b1"": ""battery cell low voltage alarm"", ""b2"": ""battery pack overvoltage alarm"", ""b3"": ""battery pack low voltage alarm"", ""b4"": ""charging over current alarm"", ""b5"": ""discharging over current alarm"", ""b8"": ""charging high temperature alarm"", ""b9"": ""discharging high temperature alarm"", ""b10"": ""charging low temperature alarm"", ""b11"": ""discharging low temperature alarm"", ""b12"": ""environment high temperature alarm"", ""b13"": ""environment low temperature alarm"", ""b14"": ""MOSFET high temperature alarm"", ""b15"": ""SOC Low alarm""}",,See description-1
,,10,Protection flag,,R,"{""b0"": ""battery cell over voltage protection"", ""b1"": ""battery cell low voltage protection"", ""b2"": ""battery pack over voltage protection"", ""b3"": ""battery pack low voltage protection"", ""b4"": ""charging over current protection"", ""b5"": ""discharging over current protection"", ""b6"": ""short circuit protection"", ""b7"": ""charger overvoltage protection"", ""b8"": ""charging high temperature protection"", ""b9"": ""discharging high temperature protection"", ""b10"": ""charging low temperature protection"", ""b11"": ""discharging low temperature protection"", ""b12"": ""MOSFET high temperature protection"", ""b13"": ""environment high temperature protection"", ""b14"": ""environment low temperature protection"", ""b15"": ""reserve""}",,See description-2
,,11,Status/Fault flag,,R,"{""b0"": ""charging MOSFET fault"", ""b1"": ""discharging MOSFET fault"", ""b2"": ""temperature sensor fault"", ""b3"": ""reserve"", ""b4"": ""battery cell fault"", ""b5"": ""front end sampling communication fault"", ""b6"": ""reserve"", ""b7"": ""reserve"", ""b8"": ""state of charge"", ""b9"": ""state of discharge"", ""b10"": ""charging MOSFET is ON"", ""b11"": ""discharging MOSFET is ON"", ""b12"": ""charging Limiter is ON"", ""b13"": ""reserve"", ""b14"": ""charger inversed"", ""b15"": ""heater is ON""}",,See description-3
,,12,Balance status,,R,,,
,,15,Cell 1 Voltage,,R,,1mv,"Voltage of 16 cells, 2 byte for each cell"
,,16,Cell 2 Voltage,,R,,1mv,
,,17,Cell 3 Voltage,,R,,1mv,
,,18,Cell 4 Voltage,,R,,1mv,
